Aki Schmidt
Bodo Schmidt
René Schneider
Wolfgang Schüler
Michael Schulz
Nico Schulz
Harald Schumacher
Till Schumacher
André Schürrle
Jürgen Schütz
Sahr Senesie
Janni-Luca Serra
Daniel Simmes
Lothar Sippel
Euzebiusz Smolarek
Fábio Silva
Lasse Sobiech
Kubilay Sönmez
Jan-Derek Sørensen
Rubén Sosa Ardaiz
Paulo Sousa
Pascal Stenzel
Miroslav Stević
Marco Stiepermann
Bernd Storck
Mark Strudal
Wilhelm Sturm
Neven Subotić
Niklas Süle
Daniel Svensson
Ibrahim Tanko
Luka Tankulić
Franz-Josef Tenhagen
Ronny Teuber
Steffen Tigges
Hans Tilkowski
Christian Timm
Tinga
Jeremy Toljan
Ömer Toprak
René Tretschok
Horst Trimhold
Sebastian Tyrała
Nelson Haedo Valdez
Zoltán Varga
Joey Veerman
Miroslav Votava
Guillaume Warmuz
Jürgen Wegmann
Roman Weidenfeller
Julian Weigl
Werner Weist
Axel Witsel
Marius Wolf
Carsten Wolters
Christian Wörns
Reinhold Wosab
Mallam Yahaya
Dan-Axel Zagadou
Ned Zelić
Alexander Zickler
Mohamed Zidan
Marc Ziegler
Michael Zorc
