Leroy Abanda
Amarildo Tavares da Silveira
Bassano Daccò
Daniele Daino
Giorgio Dal Monte
Samuele Dalla Bona
Diogo Dalot
Oscar Damiani
Cristian Daminuță
Franco Danova
Giancarlo Danova
Fausto Daolio
Stelio Darin
Matteo Darmian
Mario David
Edgar Davids
Samuel Richard Davies
Benedetto De Angelis
Diego De Ascentis
Giovanni De Carli
Filippo De Col
Alfredo De Franceschini
Francesco De Francesco
Benigno De Grandi
Franco De Gregori
Charles De Ketelaere
Renato De Manzano
Michele De Nadai
Fernando De Napoli
Virginio De Paoli
Mattia De Sciglio
Massimo De Solda
Carlo De Vecchi
Renzo De Vecchi
Walter De Vecchi
Andrea De Vito
Koni De Winter
Roberto De Zerbi
Derek Décamps
Daniele Degano
Pietro Degano
Amedeo Degli Esposti
Walter Del Medico
Emanuele Del Vecchio
Lucio Dell'Angelo
Amilcare Della Noce
Marcel Desailly
Sebastiano Desplanches
Sergiño Dest
Mattia Destro
Gerard Deulofeu
Vikash Dhorasoo
Agostino Di Bartolomei
Paolo Di Canio
Nello Di Costanzo
Davide Di Gennaro
Luigi Diamante
Tiago Dias
Alex
Brahim Díaz
Dida
Digão
Jack Diment
Marcus Diniz
Davide Dionigi
Edward Dobbie
Dario Dolci
Maurizio Domizzi
Cyril Domoraud
Dario Donà
Marco Donadel
Roberto Donadoni
Giuseppe Donatelli
Massimo Donati
Antonio Donnarumma
Gianluigi Donnarumma
Claiton dos Santos Machado
Léo Duarte
Antonio Dubini
Bruno Ducati
Christophe Dugarry
Stephan El Shaarawy
Giovane Élber
Dīmītrios Eleutheropoulos
Giacinto Ellena
Rodrigo Ely
Urby Emanuelson
Emerson Ferreira da Rosa
Emerson Royal
Stefano Eranio
Giulio Ermolli
Harvey Esajas
Marco Esposito
Michael Essien
Pervis Estupiñán
Alberico Evani
Michael Fabbro
Natale Faccenda
Alessandro Faiolhe Amantino
Nunzio Falco
Renato Faloppa
Giovanni Fanello
Emiliano Farina
Plinio Farina
Franco Fasoli
Eros Fassetta
Giuseppe Favalli
Marco Fazzi
Gian Filippo Felicioli
João Félix
Gianni Fermi
Matías Fernández
Carlo Ferrarese
Stefano Ferrari
Paolo Ferrario
Romolo Ferrario
Salvatore Ferraro
Ricardo José Araújo Ferreira
Giuseppe Ferrero
Michele Ferri
Fabrizio Ferron
Giuseppe Fiammenghi
Riccardo Fiamozzi
Arrigo Fibbi
Giancarlo Filippini
Attila Filkor
Valerio Fiori
Attilio Firpi
Mathieu Flamini
Alessandro Florenzi
Youssouf Fofana
Giorgio Fogar
Pasquale Foggia
Romano Fogli
Mario Foglia
Nicolás Fonseca
Alfio Fontana
Domenico Fontana
Stefano Fontana
Brenno Fontanesi
Luigi Forlano
Attilio Formenti
Enrico Forneris
Giuliano Fortunato
Marco Fossati
Salvatore Foti
Piero Fraccapani
Marco Franceschetti
Giorgio Frezzolini
Silvio Frigerio
Amleto Frignani
Fabio Frugali
Niclas Füllkrug
Egidio Fumagalli
Federico Furlan
Diego Fuser
Paulo Futre
Elisio Gabardo
Matteo Gabbia
Catullo Gadda
Massimo Gadda
Guglielmo Gajani
Giuseppe Galderisi
Luigi Galetti
Edoardo Galimberti
Giancarlo Gallesi
Domenico Galli
Filippo Galli
Giovanni Galli
Carlo Galli
Attilio Gallo
Giuseppe Gallo
Lorenzo Gallo
Giuseppe Galluzzo
Ranieri Galluzzo
Sebastián Gamarra
Enzo Gambaro
Armando Gambuti
Angelo Gandini
Luigi Ganelli
Maurizio Ganz
Simone Ganz
Gianfranco Ganzer
Luigi Garagna
Pablo García
Felice Garzilli
Lorenzo Gaslini
Mirco Gasparetto
Emilio Gattoronchieri
Gennaro Gattuso
Gianluca Gaudenzi
Luciano Gaudino
Davide Gavazzi
Dario Gay
Gustavo Gay
Eric Gerets
Primo Germano
Germano
Giorgio Ghezzi
Alcides Ghiggia
Paolo Ghiglione
Livio Ghioni
Luca Ghiringhelli
Alberto Giacomin
Massimo Giacomini
Sereno Gianesello
Oscar Joseph Giger
Mario Gila
Alberto Gilardino
Santiago Giménez
Aredio Gimona
Massimo Ginelli
Marco van Ginkel
Ettore Girardengo
Olivier Giroud
Luigi Giunta
Salvatore Giunta
Federico Giunti
Massimo Gobbi
Lino Golin
Gustavo Gómez
Walter Gómez
Graziano Gori
Duino Gorin
Yoann Gourcuff
Mattia Graffiedi
Giorgio Granata
Gianluca Grassadonia
Edy Gratton
Lino Grava
Jimmy Greaves
Guido Gregoletto
Gunnar Gren
Ernesto Grillo
Leandro Grimi
Alberto Grossetti
Paolo Grossi
Pietro Grosso
Dante Guagnetti
Umberto Guarnieri
Albert Guðmundsson
Andrés Guglielminpietro
Ruud Gullit
Alfred Haberlin
Árpád Hajós
Alen Halilović
Zakaria Hamadi
Kurt Hamrin
Mark Hateley
Jens Petter Hauge
Gustavo Hauser
Heinric Heim
Thomas Helveg
Ezekiel Henty
Theo Hernández
Hans Mayer Heuberger
Gonzalo Higuaín
Keisuke Honda
Hood
Carlo Hopf
Klaas-Jan Huntelaar
Alessandro Iannuzzi
Zlatan Ibrahimović
Andrea Icardi
Mario Ielpo
Harmony Ikande
Alexander Simmelhack
Hans Walter Imhoff
Luigi Imparato
Giuseppe Incocciati
Roberto Incontri
Riccardo Innocenti
Filippo Inzaghi
Manuel Iori
Giustino Ippolito
Marek Jankulovski
Ardon Jashari
Álex Jiménez
Nigel de Jong
Joe Jordan
José Mari
Luka Jović
Júlio César Santos Correa
Andreas Jungdal
K'akhaber K'aladze
Kaká
Željko Kalac
Nikola Kalinić
Pierre Kalulu
Béla Károly
Milos Kerkez
Franck Kessié
Herbert Kilpin
Simon Kjær
Patrick Kluivert
François Menno Knoote
Ismael Konate
Attilio Kossovel
Andrej Kostić
Bojan Krkić
Rade Krunić
Branko Kubala
Juraj Kucka
Antonio Kuk
Vital' Kutuzaŭ
Max Laich
Alessandro Lambrughi
Pietro Lana
Fernando Lancioni
Franco Landri
Christian Lantignotti
Enrico Lanzi
Gianluca Lapadula
Enrico Larini
Brian Laudrup
Martin Laursen
Emilio Lavezzari
Diego Laxalt
Marko Lazetić
Mario Lazzaroni
Rafael Leão
Elia Legati
Nicola Legrottaglie
Jens Lehmann
Gianluigi Lentini
Leonardo Nascimento de Araújo
Mario Liberalato
Nils Liedholm
Kurt Lies
Daniele Limonta
Manuel Locatelli
Tomas Locatelli
Giovanni Lodetti
Mario Loetti
Ruben Loftus-Cheek
Natale Loiacono
Ezio Loik
Stefano Lombardi
Paolo Lombardo
Maurizio Longobardo
Angelo Longoni
Diego López
Maxi López
Giacomo Lorenzini
Roberto Lorenzini
Giovanni Lorini
Luigi Lorini
Cesare Lovati
Luiz Adriano
Massimo Maccarone
Marco Macina
Sergio Maddè
Johann Ferdinand Mädler
Pietro Maestroni
Guido Magherini
Luciano Magistrelli
Giancarlo Magnavacca
Mario Magnozzi
Mike Maignan
Giampiero Maini
Mario Malatesta
Saul Malatrasi
Aldo Maldera
Attilio Maldera
Luigi Maldera
Cesare Maldini
Daniel Maldini
Paolo Maldini
Enrico Malerba
Umberto Malvano
Emilio Manazza
Carmelo Mancuso
Roberto Mandressi
Mario Mandžukić
Michele Manenti
Tiziano Manfrin
Giovanni Mangini
Amedeo Mangone
Filippo Maniero
Graziano Mannari
Claudio Mantovani
Vittorino Mantovani
Andrea Manzo
Mario Maraschi
Desiderio Marchesi
Giuseppe Marchi
Sergio Marchi
Giuseppe Marchioro
Stefano Marcucci
Enzo Maresca
Amos Mariani
Edoardo Mariani
Giovanni Marin
Piero Maronati
Renato Marson
Vittore Martini
Lino Marzorati
Oliviero Mascheroni
Daniele Massaro
Hachim Mastour
Alessandro Matri
Felipe Mattioni
Gianni Mattioni
José Mauri
Juan Mauri
Kevin Martins
Otto Mayer
Bruno Mazza
Osvaldo Mazzi
Gianni Meanti
Ulderico Meanti
Giuseppe Meazza
Soualiho Meïté
Alessandro Melli
Enzo Menegotti
Jérémy Ménez
Romeo Menti
Umberto Menti
Alexander Merkel
Angelo Meroni
Djamel Mesbah
Andrea Meschia
Junior Messias
Philippe Mexès
Nikos Michelīs
Bruno Micheloni
Egidio Micheloni
Bruno Midali
Giancarlo Migliavacca
Efrem Milanese
Alberto Minoia
Angelo Minoia
Antonio Mirante
Michał Miśkiewicz
Guido Moda
Luka Modrić
Paolo Montanari
Bruno Montelongo
Renzo Monti
Luciano Monticolo
Riccardo Montolivo
Bruno Mora
Ernesto Morandi
Álvaro Morata
Javi Moreno
Stefano Moreo
Domenico Morfeo
Giorgio Morini
Silvano Moro
Luigi Oscar Moroni
Arrigo Morselli
Karl Muller
Sulley Muntari
Giampiero Murer
Mateo Musacchio
Yunus Musah
Roberto Mussi
Stefano Nava
Urano Navarrini
Ettore Negretti
Eugenio Negri
Alessandro Nesta
Penvhyn Llewellyn Neville
Bruno N'Gotty
M'Baye Niang
Steinar Nilsen
Romano Guido Nimis
Christopher Nkunku
Antonio Nocerino
Gilberto Noletti
Gunnar Nordahl
Giuseppe Norsa
Mattia Notari
Walter Novellino
Giulio Nuciari
Glauco Nulli
Camille Nys
Lucas Ocampos
Vincenzo Occhetta
Massimo Oddo
Nnamdi Oduamadi
Noah Okafor
Divock Origi
Lorenzo Oleario De Bellagente
Ricardo Oliveira
Giacomo Olzer
Elio Onorato
Lucas Ontivero
Oguchi Onyewu
Pierluigi Orlandini
Alessandro Orlando
Massimo Orlando
Ermenegildo Orzan
Rodolfo Ostromann
Wilfred Osuji
Edi Ott
Ricardo Paciocco
Nicola Padoin
Giuseppe Pagni
Angelo Pagotto
Angelo Paina
Alberto Paleari
Gabriel Paletta
Bruno Palma
Alberto Paloschi
Giuseppe Pancaro
Christian Panucci
Venerino Papa
Sōkratīs Papastathopoulos
Jean-Pierre Papin
Gianfranco Parati
Camillo Parisini
Erminio Parmesani
Mario Pašalić
Eddy Pascual
Piero Pasinati
Antonio Pasinato
Giancarlo Pasinato
Nicola Pasini
Paride Pasqualetto
Piero Pastore
Palmiro Luigi Pastorelli
Alexandre Pato
Strahinja Pavlović
Andrea Pazzagli
Giampaolo Pazzini
Emanuele Pecorino
Ivo Pedretti
Franco Pedroni
Guido Pedroni
Vittorio Pedroni
Ambrogio Pelagalli
Judilson Mamadu Tuncara Gomes
Angelo Pellacani
Pietro Pellegri
Marco Pellegrino
Filippo Pellizzoni
Romano Penzo
Oreste Perfetti
Romano Perticone
Gianluca Pessotto
Andrea Petagna
Carlo Petrini
Krzysztof Piątek
Gian Emilio Piazza
Gian Guido Piazza
Carlo Piccardi
Alberto Piccinini
Roger Piérard
Davide Pinato
Marco Pinato
Pedro Pineda
Ottorino Piotti
Alberto Pirelli
Andrea Pirlo
Riccardo Piscitelli
Giancarlo Pistorello
Gino Pivatelli
Pier Luigi Pizzaballa
Amilcare Pizzi
Alessandro Plizzari
Tommaso Pobega
Gipo Poggi
Luigi Poggia
Bruno Poletti
Andrea Poli
Bernardo Poli
Francesco Pomi
Alex Pontons
José Ponzinibio
Luciano Poppi
Filippo Porcari
Eugenio Porrati
Gilberto Porro Lambertenghi
Luigi Pozzi
Nicola Pozzi
Pierino Prati
Enrico Prato
