Teobaldo Depetrini
Didier Deschamps
Paolo Di Canio
Ruggero Di Cuonzo
Michele Di Gregorio
Angelo Di Livio
Ángel Di María
Augusto Di Muri
Alessandro Di Pardo
Marco Di Vaio
Mbaye Diagne
Joss Didiba
Diego Ribas
Armando Diena
Ferruccio Diena
Matar Dieye
Jack Diment
Tiago Djaló
Marcelo Djaló
Aldo Dolcetti
Secondo Donino
Anastasios Dōnīs
Domenico Donna
Douglas Costa
Giulio Drago
Radu Drăgușin
Alessandro Duè
Domenico Durante
Piero Dusio
Paulo Dybala
Albin Ekdal
Jeff Ekhator
Eljero Elia
Emerson Ferreira da Rosa
Simone Emmanuello
Flavio Emoli
Ivan Ergić
Juan Esnáider
Marcelo Estigarribia
Patrice Evra
Nicolò Fagioli
Davide Falcioni
Pierino Fanna
Enrico Fantini
Vittorio Faroppa
Eugenio Fascetti
Erminio Favalli
Luciano Favero
Andrea Favilli
Camillo Fenili
Leandro Fernandes
Fernando Puglia
Angelo Ferrara
Ciro Ferrara
Giovanni Ferrari
Rino Ferrario
Alfredo Ferraris
Pio Ferraris
Josef Ferrero
Luigi Ferrero
Mario Ferrero
Amarro Fiamberti
Andrija Filipović
Giovanni Finazzi
Mario Finazzi
Pietro Fioravanti
Manuel Fischnaller
Bruno Onorato Fochesato
Aboubaka Fofana
Alfredo Foni
Daniel Fonseca
Luigi Forlano
Andrea Fortunato
Daniele Fortunato
Gianluca Frabotta
Paolo Franceschelli
Stefano Francescon
Gianluca Francesconi
Alessandro Frara
Salvatore Fresi
Oscar Frey
Luigi Fuin
Giuseppe Furino
Luca Fusi
Guglielmo Gabetto
Gabriel Appelt
Giuseppe Galderisi
Roberto Galia
Carlo Gallina
Giovanni Gallina
Gaetano Gallo
Giuseppe Galluzzi
Agostino Gamba
Giuseppe Gamba
Giorgio Gambino
Enzo Garavoglia
Jesús García Tena
Pol García
Domenico Gariglio
Bruno Garzena
Andrea Gasbarroni
Giuseppe Gaspari
Gian Piero Gasperini
Daniele Gastaldello
Settimo Gastaldi
Alfredo Gatti
Federico Gatti
Mario Genta
Bruno Genti
Andrea Gentile
Claudio Gentile
Umberto Germano
Umberto Ghibaudo
Emanuele Giaccherini
Massimiliano Giacobbo
Giuseppe Giacone
Federico Giampaolo
Luigi Giandomenico
Manuel Giandonato
Guido Gianfardoni
Niccolò Giannetti
Giuliano Giannichedda
Giorgio Giaretta
Piero Gibellino
Luigi Gibezzi
Piero Gilli
Aredio Gimona
Sebastian Giovinco
Giuseppe Giriodi
Luigi Giunta
Gladstone Pereira della Valentina
Giuseppe Gobetti
Giovanni Goccione
Cesare Goffi
Biagio Goggio
Giuseppe Gola
Nicolás González
Facundo González
Harry Goodley
Adolfo Gori
Sergio Gori
Stefano Gori
Marco Gorzegno
Prince-Désir Gouano
Paolo Gozzi
Kamil Grabara
Corrado Grabbi
Giuseppe Grabbi
Giovanni Greppi
Fabio Grosso
Francesco Grosso
Zdeněk Grygera
Stefano Guidoni
Tomás Guzmán
Albian Hajdari
Helmut Haller
Kurt Hamrin
John Hansen
Karl Aage Hansen
Thomas Häßler
Thierry Henry
Hernanes
Robb Hescool
Giuseppe Hess
Hans Mayer Heuberger
Nick Heyle
Gonzalo Higuaín
Ferenc Hirzer
Emil Holm
Benedikt Höwedes
Jakub Hromada
Dean Huijsen
Vincenzo Iaquinta
Zlatan Ibrahimović
Mohamed Ihattaren
Samuel Iling-Junior
Francesco Imberti
Ciro Immobile
Filippo Inzaghi
Andreas Isaksson
Mauricio Isla
Franco Israel
Mark Iuliano
Salvatore Jacolino
Alfred Jacquet
Arnel Jakupovic
Robert Jarni
Barry Johnson
William Jordan
Zoran Josipovic
Vladimir Jugović
Júlio César da Silva
Elvis Kabashi
Pierre Kalulu
Hans Kämpfer
Franck Kanouté
