Alex Cordaz
Iván Córdoba
Franco Cordova
Mario Corinaldesi
Bernardo Corradi
Niccolò Corrado
Joaquín Correa
Zé Turbo
Mario Corso
Aristide Coscia
Paulo Costa
Pedro Costa Ferreira
Matteo Cotali
Philippe Coutinho
Ernesto Crespi
Hernán Crespo
Angelo Crialesi
Amedeo Crippa
Lorenzo Crisetig
Enrico Crotti
Julio Cruz
Juan Cuadrado
Enrico Cucchi
Pacifico Cuman
Ernani D'Alconzo
Vito D'Amato
Danilo D'Ambrosio
Mario Da Pozzo
Antonio Da Sacco
Ousmane Dabo
Olivier Dacourt
Felipe Dal Bello
Silvio Dal Corso
Dalbert
Lauri Dalla Valle
Stéphane Dalmat
Antonio Dalmonte
Oscar Damiani
Cristian Daminuță
Matteo Darmian
Edgar Davids
Carlo Davies
Luigi De Agostini
Gianni De Biasi
Paulino de la Fuente
Manuel De Luca
Alessandro De Magistris
Angelo De Magistris
Renato De Manzano
Mario De Prati
Alfredo De Vincenzi
Pasquale De Vincenzo
Italo Defendi
Valentino Degani
Renato Dehò
Pedro Delgado
Francesco Dell'Anno
Antonio Dell'Oglio
Paolo Dellafiore
Giorgio Dellagiovanna
Roberto Delli Ponti
Marco Delvecchio
Atilio Demaría
Félix Demaría
Stefano Desideri
Luigi Di Biagio
Carlo Di Cristofaro
Raffaele Di Gennaro
Pierluigi Di Già
Beniamino Di Giacomo
Arturo Di Napoli
Fabio Di Sauro
Rosario Di Vincenzo
Ramón Díaz
Armando Diena
Federico Dimarco
Andy Diouf
Dodô
Giuseppe Doldi
Angelo Domenghini
Cyril Domoraud
Umberto Donà
Aldo Donati
Giulio Donati
Nicola Donazzan
Walter Dondoni
Isaac Donkor
Aldo Dorigo
Piero Dotti
Enrico du Chêne de Vère
Denzel Dumfries
Alfred Duncan
Edin Džeko
Riccardo Eberhardt
Éder
Jimmy Ekua
Yacine El Kassah
Isah Eliakwu
Xian Emmers
Emre Belözoğlu
Oscar Engler
Paolo Erba
Christian Eriksen
Caner Erkin
Pio Esposito
Salvatore Esposito
Sebastiano Esposito
Samuel Eto'o
Bernardino Fabbian
Angelo Fabbri
Edmondo Fabbri
Giacinto Facchetti
Ricardo Faccio
Mario Facco
Khalilou Fadiga
Fausto Faglioni
Alessandro Faiolhe Amantino
Renato Falcomer
Pierino Fanna
Davide Faraoni
Giovanni Farina
Francisco Farinós
Ivan Fatić
Osvaldo Fattori
Erminio Favalli
Giuseppe Favalli
Adriano Fedele
Daniele Federici
Claudio Fermanelli
Ugo Ferradini
Marco Ferrante
Antonio Ferrara
Nicola Ferrara
Giovanni Ferrari
Matteo Ferrari
Rino Ferrario
Pietro Ferraris
Salvatore Ferraro
Luigi Ferrero
Giovanni Ferretti
Riccardo Ferri
Fabrizio Ferron
Gianluca Festa
Giuseppe Figliomeni
Luís Figo
Attila Filkor
Lucio Filomeno
Pietro Fiorindi
Gustavo Fiorini
Eddie Firmani
Riccardo Fissore
Rinaldo Fiumi
Livio Fongaro
Matias Fonseca
Alberto Fontana
Mario Fontana
Alessandro Fontanarosa
Roberto Fontanini
Davide Fontolan
Silvano Fontolan
Diego Forlán
Francesco Forte
Marco Fortin
Ercole Foschini
Giuseppe Fossati
Marco Fossati
Virgilio Fossati
Gustavo Francesconi
Luca Franchini
Angelo Franzosi
Achille Fraschini
Davide Frattesi
Salvatore Fresi
Sébastien Frey
Giammarco Frezza
Giorgio Frezzolini
Luigi Frigerio
Francesco Frione
Ricardo Frione
Roberto Fronte
Annibale Frossi
Mario Frustalupi
Aldo Fumagalli
Tommaso Fumagalli
