Charlie Mitten
Harry Moger
Mats Møller Dæhli
Graham Moore
Kevin Moran
Willie Morgan
Kenny Morgans
Johnny Morris
Ching Morrison
Ravel Morrison
Remi Moses
Mason Mount
Arnold Mühren
Philip Mulryne
Colin Murdock
Nani
Daniel Nardiello
Andrey Santos
Navid Nasseri
Markus Neumayr
Gary Neville
Phil Neville
Erik Nevland
Jimmy Nicholl
Jimmy Nicholson
Victor Lindelöf
Ruud van Nistelrooij
Oliver Norwood
Liam O'Brien
Patrick O'Connell
Kieran O'Hara
John O'Kane
John O'Shea
Gabriel Obertan
Chido Obi-Martin
Mipo Odubeko
Jesper Olsen
André Onana
Michael Owen
Maxi Oyedele
Louis Page
Gary Pallister
Park Ji-sung
Paul Parker
Steve Paterson
Ben Pearson
Stan Pearson
Stuart Pearson
Jack Peddie
David Pegg
Facundo Pellistri
Joel Pereira
Robin van Persie
Davide Petrucci
Mike Phelan
Jack Picken
Anthony Pilkington
Mike Pinner
Gerard Piqué
Karel Poborský
Paul Pogba
Dennis Politic
Mike Pollitt
Jack Powell
Nick Powell
Josh Pritchard
William Prunier
Danny Pugh
Arnau Puigmal
Jami Puustinen
Albert Quixall
Paul Rachubka
Rafael Pereira da Silva
Largie Ramazani
Andy Rammell
John Rankin
Joe Rankin-Costello
Marcus Rashford
Simon Ratcliffe
Oliver Rathbone
Bill Rawlings
Sergio Reguilón
Ricardo López Felipe
Kieran Richardson
Bill Ridding
Jimmy Rimmer
Rincón
Charlie Roberts
Mark Robins
Bryan Robson
Paddy Roche
Jonny Rödlund
Rodrigo Possebon
Marcos Rojo
Sergio Romero
Wayne Rooney
Giuseppe Rossi
Joe Rothwell
George Roughton
Tommy Rowe
Jack Rowley
Marcel Sabitzer
David Sadler
Louis Saha
Alexis Sánchez
Jadon Sancho
Edwin van der Sar
Carlo Sartori
Robbie Savage
Albert Scanlon
James Scanlon
Luca Scanlon
Peter Schmeichel
Morgan Schneiderlin
Alf Schofield
Paul Scholes
Bastian Schweinsteiger
Jackie Scott
Benjamin Šeško
Maurice Setters
Lee Sharpe
Luke Shaw
Ryan Shawcross
Teddy Sheringham
Shola Shoretire
Chris Short
Jack Silcock
Mikaël Silvestre
Danny Simpson
John Sivebæk
Paul Sixsmith
Paddy Sloan
Chris Smalling
Alan Smith
Ole Gunnar Solskjær
Jonathan Spector
Joe Spence
George Stacey
Harry Stafford
Jaap Stam
Frank Stapleton
Luke Steele
Alex Stepney
Cameron Stewart
Michael James Stewart
Nobby Stiles
Ian Storey-Moore
Gordon Strachan
Massimo Taibi
Alan Tate
Ernie Taylor
Tommy Taylor
Alex Telles
Carlos Tévez
Mickey Thomas
Jordan Thompson
Ben Thornley
John Thorrington
Youri Tielemans
Mads Timm
Michael Tonge
Zoran Tošić
Wilfred Tranter
Sean Tse
Axel Tuanzebe
Ryan Tunnicliffe
Jimmy Turnbull
Sandy Turnbull
Manuel Ugarte
Ian Ure
Víctor Valdés
Luis Antonio Valencia
Donny van de Beek
Gyliano van Velzen
