Emiliano Martínez
Brian Marwood
Kōnstantínos Mauropános
Alex McCall
Jack McClelland
Billy McCullough
Brian McDermott
Sean McDermott
Roddy McEachrane
Jimmy McGill
Eddie McGoldrick
Gavin McGowan
Mark McGuinness
Ian McKechnie
Angus McKinnon
Frank McLintock
Bob McNab
Jernade Meade
Raphael Meade
Zech Medley
Danny Welbeck
Joe Mercer
Fran Mérida
Mikel Merino
Paul Merson
Per Mertesacker
Illan Meslier
Dave Metchick
Ignasi Miquel
Ryō Miyaichi
Ricky Modeste
Nikolaj Möller
Nacho Monreal
Elton Monteiro
Steve Morrow
Stan Mortensen
Cristhian Mosquera
Frank Moss
Kōnstantinos Mpalogiannīs
Alfred Mugabo
Jehad Muntasser
Shkodran Mustafi
Samir Nasri
Ashley Nathaniel-George
Fabrice Muamba
Terry Neill
David Nelson
Reiss Nelson
Sammy Nelson
Neto Murara
Charlie Nicholas
Peter Nicholas
Eddie Nketiah
Mark Noble
Håvard Nordtveit
Christian Nørgaard
Jurriën Timber
Gordon Nutt
Kelechi Nwakali
Ethan Nwaneri
Stephen O'Donnell
David O'Leary
Frank O'Neill
John O'Rourke
Don Oakes
Chido Obi-Martin
Eric Obinna
Martin Ødegaard
Armstrong Oko-Flex
Michael Olise
Kristoffer Olsson
Brandon Ormonde-Ottewill
Alexandru Oroian
Jordi Osei-Tutu
David Ospina
Marc Overmars
Quincy Owusu-Abeyie
Alex Oxlade-Chamberlain
Daniel Oyegoke
Mesut Özil
Oğuzhan Özyakup
Michal Papadopulos
Sōkratīs Papastathopoulos
Nikodīmos Papavasileiou
Park Chu-young
Tom Parker
Ray Parlour
Thomas Partey
Charlie Patino
Gabriel Paulista
Sydie Peck
Jermaine Pennant
Nicolas Pépé
Robin van Persie
Emmanuel Petit
Vladimir Petrović
John Petts
Kōstas Pīleas
Mike Pinner
Mitch Pinnock
Robert Pirès
Luke Plange
David Platt
Julio Pleguezuelo
Lukas Podolski
Mart Poom
Ian Poveda
Joe Powell
Niall Quinn
John Radford
Aaron Ramsdale
Aaron Ramsey
Mark Leonard Randall
David Raya
Sam Raybould
Jeff Reine-Adélaïde
Omar Rekik
José Antonio Reyes
Declan Rice
Pat Rice
Kevin Richardson
Rohan Ricketts
Jimmy Rimmer
Graham Rix
Herbie Roberts
John Griffith Roberts
Philip Roberts
Jimmy Robertson
David Rocastle
Ronnie Rooke
Alex Forbes
Leigh Richmond Roose
Don Roper
Tomáš Rosický
Rúnar Alex Rúnarsson
Jock Rutherford
John Ryan
Mathew Ryan
Bacary Sagna
Bukayo Saka
William Saliba
Albert Sambi Lokonga
Jon Sammels
Alexis Sánchez
Percy Sands
Yaya Sanogo
Kenny Sansom
André Clarindo dos Santos
Stefan Schwarz
Laurie Scott
David Seaman
Ian Selley
Philippe Senderos
Alie Sesay
Rami Shaaban
Len Shackleton
Arthur Shaw
Joe Shaw
Ben Sheaf
Jonjo Shelvey
Dean Shiels
Steven Sidwell
Christos Sielīs
Valentinos Sielīs
Gilberto Silva
Wellington Silva
Mikaël Silvestre
Frankie Simek
Jay Simpson
Peter Simpson
Alan Skirton
Ólafur Ingi Skúlason
Paddy Sloan
Alan Smith
Alan Smith
Lionel Smith
Renny Smith
Ryan Craig Matthew Smith
Emile Smith Rowe
Cédric Soares
Alexandre Song
Lennard Sowah
Brian Sparrow
Bayli Spencer-Adams
Sébastien Squillaci
Graham Stack
Jim Standen
Frank Stapleton
Igors Stepanovs
Raheem Sterling
Anthony Stokes
Harry Storer Sr.
Peter Storey
Geoff Strong
Denis Suárez
Davor Šuker
Con Sullivan
Alan Sunderland
Gilles Sunu
Sebastian Svärd
Andrew Swann
George Swindin
Sylvinho
Wojciech Szczęsny
Brian Talbot
Ollie Tanner
Eustathios Taularidīs
Nuno Tavares
Stuart Taylor
Kido Taylor-Hart
Nathan Tella
Jerome Thomas
Michael Thomas
Terell Thomas
Dominic Thompson
Mike Tiddy
Kieran Tierney
Takehiro Tomiyasu
Jon Toral
Lucas Torreira
Kolo Touré
Armand Traoré
Leandro Trossard
Auston Trusty
Matt Turner
Alan Tyrer
Chrīstos Tzolīs
Norman Uprichard
Matthew Upson
Ian Ure
Paul Vaessen
Carlos Vela
Thomas Vermaelen
Paolo Vernazza
Fábio Vieira
Patrick Vieira
João Virgínia
Nelson Vivas
Emiliano Viviano
Moritz Volz
Joe Wade
Theo Walcott
Harold Walden
Steve Walford
Guillaume Warmuz
Myles Weston
Rhys Weston
Ben White
Tom Whittaker
Jack Wilkinson
Charles Albert Williams
Steve Williams
Willian
Chris Willock
Joe Willock
Matty Willock
Len Wills
Rhys Wilmot
Jack Wilshere
Sylvain Wiltord
Nigel Winterburn
George Wood
Tony Woodcock
Christopher Wreh
Ian Wright
Richard Wright
Granit Xhaka
Dru Yearwood
Nico Yennaris
Willie Young
Steve Zakuani
Gedion Zelalem
Oleksandr Zinčenko
Martín Zubimendi
